Num steps: 990000   Return: 655.9   Time: 2:23:14
Num steps: 995000   Return: 661.9   Time: 2:23:57
Num steps: 1000000   Return: 618.1   Time: 2:24:43
Num steps: 1005000   Return: 586.2   Time: 2:25:27
Num steps: 1010000   Return: 670.5   Time: 2:26:10
Num steps: 1015000   Return: 642.1   Time: 2:26:54
Num steps: 1020000   Return: 621.2   Time: 2:27:38
Num steps: 1025000   Return: 644.0   Time: 2:28:19
Num steps: 1030000   Return: 641.2   Time: 2:29:03
Num steps: 1035000   Return: 657.5   Time: 2:29:46
Num steps: 1040000   Return: 625.7   Time: 2:30:30
Num steps: 1045000   Return: 620.4   Time: 2:31:13
Num steps: 1050000   Return: 572.5   Time: 2:32:05
Num steps: 1055000   Return: 571.3   Time: 2:32:49
Num steps: 1060000   Return: 538.6   Time: 2:33:32
Num steps: 1065000   Return: 545.6   Time: 2:34:15
Num steps: 1070000   Return: 570.0   Time: 2:34:58
Num steps: 1075000   Return: 570.5   Time: 2:35:42
Num steps: 1080000   Return: 546.3   Time: 2:36:24
Num steps: 1085000   Return: 577.0   Time: 2:37:07
Num steps: 1090000   Return: 571.3   Time: 2:37:49
Num steps: 1095000   Return: 547.4   Time: 2:38:31
Num steps: 1100000   Return: 528.3   Time: 2:39:19
Num steps: 1105000   Return: 565.6   Time: 2:40:02
Num steps: 1110000   Return: 551.1   Time: 2:40:44
Num steps: 1115000   Return: 555.1   Time: 2:41:27
Num steps: 1120000   Return: 503.9   Time: 2:42:10
Num steps: 1125000   Return: 488.9   Time: 2:42:52
Num steps: 1130000   Return: 540.9   Time: 2:43:34
Num steps: 1135000   Return: 556.7   Time: 2:44:17
Num steps: 1140000   Return: 529.6   Time: 2:44:59
Num steps: 1145000   Return: 518.4   Time: 2:45:43
Num steps: 1150000   Return: 575.4   Time: 2:46:29
Num steps: 1155000   Return: 526.2   Time: 2:47:09
Num steps: 1160000   Return: 519.5   Time: 2:47:53
Num steps: 1165000   Return: 570.7   Time: 2:48:36
Num steps: 1170000   Return: 542.9   Time: 2:49:18
Num steps: 1175000   Return: 551.3   Time: 2:50:02
Num steps: 1180000   Return: 575.0   Time: 2:50:46
Num steps: 1185000   Return: 512.4   Time: 2:51:29
Num steps: 1190000   Return: 558.5   Time: 2:52:13
Num steps: 1195000   Return: 517.9   Time: 2:52:56
Num steps: 1200000   Return: 548.1   Time: 2:53:42
Num steps: 1205000   Return: 509.4   Time: 2:54:25
Num steps: 1210000   Return: 451.6   Time: 2:55:07
Num steps: 1215000   Return: 539.8   Time: 2:55:50
Num steps: 1220000   Return: 610.6   Time: 2:56:33
Num steps: 1225000   Return: 503.9   Time: 2:57:15
Num steps: 1230000   Return: 574.4   Time: 2:57:58
Num steps: 1235000   Return: 546.6   Time: 2:58:41
Num steps: 1240000   Return: 554.3   Time: 2:59:25
Num steps: 1245000   Return: 614.0   Time: 3:00:08
Num steps: 1250000   Return: 512.9   Time: 3:00:56
Num steps: 1255000   Return: 499.8   Time: 3:01:38
Num steps: 1260000   Return: 525.9   Time: 3:02:21
Num steps: 1265000   Return: 481.8   Time: 3:03:05
Num steps: 1270000   Return: 488.8   Time: 3:03:49
