Num steps: 850000   Return: 74.3    Time: 1:03:39
Num steps: 855000   Return: 81.8    Time: 1:04:01
Num steps: 860000   Return: 78.8    Time: 1:04:22
Num steps: 865000   Return: 87.2    Time: 1:04:44
Num steps: 870000   Return: 100.6   Time: 1:05:11
Num steps: 875000   Return: 85.0    Time: 1:05:33
Num steps: 880000   Return: 77.8    Time: 1:05:54
Num steps: 885000   Return: 82.2    Time: 1:06:16
Num steps: 890000   Return: 92.6    Time: 1:06:38
Num steps: 895000   Return: 76.7    Time: 1:07:00
Num steps: 900000   Return: 177.4   Time: 1:07:25
Num steps: 905000   Return: 201.3   Time: 1:07:47
Num steps: 910000   Return: 174.0   Time: 1:08:08
Num steps: 915000   Return: 184.3   Time: 1:08:35
Num steps: 920000   Return: 183.7   Time: 1:08:57
Num steps: 925000   Return: 220.5   Time: 1:09:19
Num steps: 930000   Return: 197.9   Time: 1:09:40
Num steps: 935000   Return: 161.9   Time: 1:10:02
Num steps: 940000   Return: 191.9   Time: 1:10:24
Num steps: 945000   Return: 183.5   Time: 1:10:46
Num steps: 950000   Return: 257.6   Time: 1:11:11
Num steps: 955000   Return: 261.5   Time: 1:11:33
Num steps: 960000   Return: 264.5   Time: 1:11:59
Num steps: 965000   Return: 266.6   Time: 1:12:21
Num steps: 970000   Return: 250.2   Time: 1:12:42
Num steps: 975000   Return: 259.5   Time: 1:13:04
Num steps: 980000   Return: 255.7   Time: 1:13:26
Num steps: 985000   Return: 259.3   Time: 1:13:47
Num steps: 990000   Return: 257.2   Time: 1:14:09
Num steps: 995000   Return: 257.4   Time: 1:14:31
Num steps: 1000000   Return: 343.5   Time: 1:14:57
Num steps: 1005000   Return: 350.7   Time: 1:15:24
Num steps: 1010000   Return: 342.0   Time: 1:15:46
Num steps: 1015000   Return: 363.2   Time: 1:16:07
Num steps: 1020000   Return: 355.5   Time: 1:16:29
Num steps: 1025000   Return: 358.5   Time: 1:16:51
Num steps: 1030000   Return: 343.0   Time: 1:17:12
Num steps: 1035000   Return: 346.7   Time: 1:17:34
Num steps: 1040000   Return: 352.7   Time: 1:17:56
Num steps: 1045000   Return: 346.3   Time: 1:18:18
Num steps: 1050000   Return: 437.5   Time: 1:18:46
Num steps: 1055000   Return: 428.3   Time: 1:19:08
Num steps: 1060000   Return: 443.5   Time: 1:19:30
Num steps: 1065000   Return: 426.0   Time: 1:19:51
Num steps: 1070000   Return: 418.3   Time: 1:20:13
Num steps: 1075000   Return: 418.7   Time: 1:20:34
Num steps: 1080000   Return: 418.9   Time: 1:20:56
Num steps: 1085000   Return: 413.3   Time: 1:21:17
Num steps: 1090000   Return: 413.6   Time: 1:21:39
Num steps: 1095000   Return: 433.2   Time: 1:22:01
Num steps: 1100000   Return: 387.1   Time: 1:22:31
Num steps: 1105000   Return: 395.7   Time: 1:22:53
Num steps: 1110000   Return: 393.1   Time: 1:23:14
Num steps: 1115000   Return: 433.5   Time: 1:23:36
Num steps: 1120000   Return: 408.9   Time: 1:23:57
Num steps: 1125000   Return: 418.7   Time: 1:24:19
Num steps: 1130000   Return: 380.7   Time: 1:24:41
Num steps: 1135000   Return: 424.5   Time: 1:25:03
Num steps: 1140000   Return: 413.3   Time: 1:25:25
Num steps: 1145000   Return: 399.8   Time: 1:25:51
Num steps: 1150000   Return: 358.8   Time: 1:26:16
