Num steps: 1020000   Return: 364.9   Time: 2:25:08
Num steps: 1025000   Return: 366.0   Time: 2:25:49
Num steps: 1030000   Return: 364.4   Time: 2:26:30
Num steps: 1035000   Return: 345.3   Time: 2:27:11
Num steps: 1040000   Return: 354.2   Time: 2:27:54
Num steps: 1045000   Return: 363.0   Time: 2:28:37
Num steps: 1050000   Return: 345.0   Time: 2:29:23
Num steps: 1055000   Return: 344.8   Time: 2:30:04
Num steps: 1060000   Return: 344.4   Time: 2:30:47
Num steps: 1065000   Return: 324.4   Time: 2:31:29
Num steps: 1070000   Return: 345.1   Time: 2:32:11
Num steps: 1075000   Return: 343.7   Time: 2:32:52
Num steps: 1080000   Return: 342.9   Time: 2:33:34
Num steps: 1085000   Return: 331.1   Time: 2:34:15
Num steps: 1090000   Return: 345.0   Time: 2:34:56
Num steps: 1095000   Return: 344.7   Time: 2:35:37
Num steps: 1100000   Return: 304.7   Time: 2:36:22
Num steps: 1105000   Return: 304.6   Time: 2:37:05
Num steps: 1110000   Return: 307.4   Time: 2:37:48
Num steps: 1115000   Return: 306.3   Time: 2:38:31
Num steps: 1120000   Return: 294.3   Time: 2:39:12
Num steps: 1125000   Return: 306.9   Time: 2:39:54
Num steps: 1130000   Return: 306.6   Time: 2:40:36
Num steps: 1135000   Return: 304.8   Time: 2:41:17
Num steps: 1140000   Return: 305.6   Time: 2:41:59
Num steps: 1145000   Return: 305.6   Time: 2:42:40
Num steps: 1150000   Return: 274.4   Time: 2:43:24
Num steps: 1155000   Return: 276.9   Time: 2:44:06
Num steps: 1160000   Return: 277.4   Time: 2:44:47
Num steps: 1165000   Return: 277.1   Time: 2:45:29
Num steps: 1170000   Return: 276.8   Time: 2:46:11
Num steps: 1175000   Return: 278.5   Time: 2:46:52
Num steps: 1180000   Return: 276.0   Time: 2:47:32
Num steps: 1185000   Return: 277.4   Time: 2:48:14
Num steps: 1190000   Return: 276.6   Time: 2:48:55
Num steps: 1195000   Return: 270.0   Time: 2:49:37
Num steps: 1200000   Return: 283.8   Time: 2:50:23
Num steps: 1205000   Return: 283.0   Time: 2:51:05
Num steps: 1210000   Return: 283.5   Time: 2:51:47
Num steps: 1215000   Return: 271.5   Time: 2:52:30
Num steps: 1220000   Return: 284.1   Time: 2:53:11
Num steps: 1225000   Return: 282.3   Time: 2:53:53
Num steps: 1230000   Return: 282.4   Time: 2:54:34
Num steps: 1235000   Return: 270.8   Time: 2:55:16
Num steps: 1240000   Return: 271.2   Time: 2:55:57
Num steps: 1245000   Return: 285.9   Time: 2:56:39
Num steps: 1250000   Return: 296.6   Time: 2:57:23
Num steps: 1255000   Return: 279.3   Time: 2:58:04
Num steps: 1260000   Return: 183.3   Time: 2:58:46
Num steps: 1265000   Return: 301.2   Time: 2:59:29
Num steps: 1270000   Return: 302.1   Time: 3:00:11
Num steps: 1275000   Return: 317.1   Time: 3:00:53
Num steps: 1280000   Return: 285.8   Time: 3:01:34
Num steps: 1285000   Return: 296.0   Time: 3:02:15
Num steps: 1290000   Return: 267.3   Time: 3:02:58
Num steps: 1295000   Return: 282.8   Time: 3:03:40
Num steps: 1300000   Return: 304.6   Time: 3:04:26
Num steps: 1305000   Return: 267.2   Time: 3:05:08
Num steps: 1310000   Return: 322.7   Time: 3:05:50
Num steps: 1315000   Return: 305.9   Time: 3:06:33
Num steps: 1320000   Return: 304.9   Time: 3:07:15
Num steps: 1325000   Return: 287.4   Time: 3:07:57
Num steps: 1330000   Return: 323.9   Time: 3:08:39
Num steps: 1335000   Return: 322.6   Time: 3:09:21
Num steps: 1340000   Return: 305.8   Time: 3:10:03
Num steps: 1345000   Return: 304.5   Time: 3:10:45
Num steps: 1350000   Return: 321.8   Time: 3:11:30
Num steps: 1355000   Return: 303.8   Time: 3:12:11
Num steps: 1360000   Return: 299.1   Time: 3:12:52
Num steps: 1365000   Return: 252.5   Time: 3:13:35
Num steps: 1370000   Return: 321.8   Time: 3:14:15
Num steps: 1375000   Return: 296.7   Time: 3:14:48
Num steps: 1380000   Return: 299.3   Time: 3:15:28
Num steps: 1385000   Return: 293.6   Time: 3:16:07
Num steps: 1390000   Return: 346.6   Time: 3:16:47
Num steps: 1395000   Return: 321.6   Time: 3:17:23
Num steps: 1400000   Return: 285.3   Time: 3:18:00
Num steps: 1405000   Return: 337.5   Time: 3:18:43
Num steps: 1410000   Return: 231.9   Time: 3:19:25
Num steps: 1415000   Return: 328.6   Time: 3:20:08
Num steps: 1420000   Return: 267.2   Time: 3:20:50
Num steps: 1425000   Return: 319.4   Time: 3:21:33
Num steps: 1430000   Return: 301.9   Time: 3:22:15
Num steps: 1435000   Return: 269.6   Time: 3:22:58
Num steps: 1440000   Return: 284.8   Time: 3:23:40
Num steps: 1445000   Return: 233.9   Time: 3:24:23
Num steps: 1450000   Return: 336.1   Time: 3:25:09
Num steps: 1455000   Return: 330.9   Time: 3:25:50
Num steps: 1460000   Return: 302.1   Time: 3:26:33
Num steps: 1465000   Return: 313.1   Time: 3:27:15
Num steps: 1470000   Return: 343.5   Time: 3:27:57
Num steps: 1475000   Return: 332.9   Time: 3:28:39
Num steps: 1480000   Return: 267.0   Time: 3:29:22
Num steps: 1485000   Return: 311.9   Time: 3:30:04
Num steps: 1490000   Return: 300.3   Time: 3:30:45
Num steps: 1495000   Return: 333.9   Time: 3:31:27
Num steps: 1500000   Return: 359.8   Time: 3:32:13
Num steps: 1505000   Return: 379.4   Time: 3:32:55
Num steps: 1510000   Return: 403.5   Time: 3:33:38
Num steps: 1515000   Return: 417.2   Time: 3:34:20
Num steps: 1520000   Return: 325.4   Time: 3:35:02
Num steps: 1525000   Return: 387.4   Time: 3:35:45
Num steps: 1530000   Return: 352.1   Time: 3:36:27
Num steps: 1535000   Return: 368.4   Time: 3:37:10
Num steps: 1540000   Return: 325.2   Time: 3:37:52
Num steps: 1545000   Return: 392.6   Time: 3:38:34
Num steps: 1550000   Return: 359.9   Time: 3:39:20
Num steps: 1555000   Return: 330.0   Time: 3:40:02
Num steps: 1560000   Return: 348.9   Time: 3:40:43
Num steps: 1565000   Return: 413.8   Time: 3:41:26
Num steps: 1570000   Return: 357.4   Time: 3:42:08
Num steps: 1575000   Return: 404.2   Time: 3:42:50
Num steps: 1580000   Return: 442.3   Time: 3:43:33
Num steps: 1585000   Return: 376.4   Time: 3:44:15
Num steps: 1590000   Return: 374.9   Time: 3:44:58
Num steps: 1595000   Return: 403.6   Time: 3:45:41
Num steps: 1600000   Return: 388.8   Time: 3:46:26
Num steps: 1605000   Return: 366.9   Time: 3:47:09
Num steps: 1610000   Return: 358.0   Time: 3:47:51
Num steps: 1615000   Return: 359.1   Time: 3:48:34
Num steps: 1620000   Return: 378.5   Time: 3:49:17
Num steps: 1625000   Return: 312.3   Time: 3:49:58
Num steps: 1630000   Return: 340.7   Time: 3:50:39
Num steps: 1635000   Return: 391.7   Time: 3:51:22
Num steps: 1640000   Return: 419.0   Time: 3:52:04
Num steps: 1645000   Return: 355.9   Time: 3:52:46
Num steps: 1650000   Return: 358.5   Time: 3:53:32
Num steps: 1655000   Return: 326.0   Time: 3:54:15
Num steps: 1660000   Return: 327.2   Time: 3:54:58
Num steps: 1665000   Return: 323.1   Time: 3:55:40
Num steps: 1670000   Return: 352.5   Time: 3:56:22
Num steps: 1675000   Return: 347.4   Time: 3:57:05
Num steps: 1680000   Return: 332.2   Time: 3:57:47
Num steps: 1685000   Return: 325.2   Time: 3:58:29
Num steps: 1690000   Return: 298.3   Time: 3:59:12
Num steps: 1695000   Return: 329.2   Time: 3:59:54
Num steps: 1700000   Return: 363.8   Time: 4:00:39
Num steps: 1705000   Return: 335.1   Time: 4:01:22
Num steps: 1710000   Return: 334.1   Time: 4:02:04
Num steps: 1715000   Return: 334.2   Time: 4:02:46
Num steps: 1720000   Return: 332.3   Time: 4:03:27
Num steps: 1725000   Return: 344.1   Time: 4:04:09
Num steps: 1730000   Return: 330.6   Time: 4:04:51
Num steps: 1735000   Return: 353.9   Time: 4:05:33
Num steps: 1740000   Return: 337.4   Time: 4:06:16
Num steps: 1745000   Return: 328.6   Time: 4:06:55
Num steps: 1750000   Return: 307.3   Time: 4:07:40
Num steps: 1755000   Return: 301.3   Time: 4:08:23
Num steps: 1760000   Return: 313.3   Time: 4:09:05
Num steps: 1765000   Return: 318.0   Time: 4:09:47
Num steps: 1770000   Return: 292.5   Time: 4:10:29
Num steps: 1775000   Return: 308.9   Time: 4:11:11
Num steps: 1780000   Return: 304.3   Time: 4:11:52
Num steps: 1785000   Return: 332.1   Time: 4:12:34
Num steps: 1790000   Return: 347.3   Time: 4:13:16
Num steps: 1795000   Return: 308.0   Time: 4:13:58
Num steps: 1800000   Return: 283.2   Time: 4:14:44
Num steps: 1805000   Return: 256.7   Time: 4:15:27
Num steps: 1810000   Return: 278.7   Time: 4:16:09
Num steps: 1815000   Return: 280.2   Time: 4:16:51
Num steps: 1820000   Return: 295.9   Time: 4:17:33
Num steps: 1825000   Return: 299.1   Time: 4:18:15
Num steps: 1830000   Return: 313.1   Time: 4:18:58
Num steps: 1835000   Return: 285.0   Time: 4:19:39
Num steps: 1840000   Return: 311.6   Time: 4:20:22
Num steps: 1845000   Return: 281.7   Time: 4:21:04
Num steps: 1850000   Return: 247.3   Time: 4:21:50
Num steps: 1855000   Return: 229.3   Time: 4:22:32
Num steps: 1860000   Return: 274.8   Time: 4:23:14
Num steps: 1865000   Return: 227.6   Time: 4:23:57
Num steps: 1870000   Return: 289.9   Time: 4:24:39
Num steps: 1875000   Return: 279.9   Time: 4:25:22
Num steps: 1880000   Return: 261.2   Time: 4:26:03
Num steps: 1885000   Return: 282.5   Time: 4:26:46
Num steps: 1890000   Return: 231.0   Time: 4:27:28
Num steps: 1895000   Return: 275.5   Time: 4:28:11
Num steps: 1900000   Return: 221.8   Time: 4:28:56
Num steps: 1905000   Return: 221.9   Time: 4:29:39
Num steps: 1910000   Return: 219.2   Time: 4:30:21
Num steps: 1915000   Return: 228.2   Time: 4:31:03
Num steps: 1920000   Return: 215.1   Time: 4:31:45
Num steps: 1925000   Return: 226.4   Time: 4:32:27
Num steps: 1930000   Return: 156.0   Time: 4:33:09
Num steps: 1935000   Return: 195.7   Time: 4:33:52
Num steps: 1940000   Return: 221.9   Time: 4:34:34
Num steps: 1945000   Return: 217.2   Time: 4:35:16
Num steps: 1950000   Return: 199.4   Time: 4:36:02
Num steps: 1955000   Return: 240.2   Time: 4:36:45
Num steps: 1960000   Return: 154.8   Time: 4:37:28
Num steps: 1965000   Return: 171.8   Time: 4:38:10
Num steps: 1970000   Return: 113.3   Time: 4:38:53
Num steps: 1975000   Return: 157.0   Time: 4:39:35
Num steps: 1980000   Return: 235.4   Time: 4:40:17
Num steps: 1985000   Return: 236.1   Time: 4:41:00
Num steps: 1990000   Return: 278.3   Time: 4:41:42
Num steps: 1995000   Return: 243.8   Time: 4:42:23
Num steps: 2000000   Return: 160.9   Time: 4:43:09
Num steps: 2005000   Return: 107.6   Time: 4:43:51
Num steps: 2010000   Return: 80.6    Time: 4:44:33
Num steps: 2015000   Return: 146.3   Time: 4:45:15
Num steps: 2020000   Return: 90.6    Time: 4:45:56
Num steps: 2025000   Return: 122.2   Time: 4:46:39
Num steps: 2030000   Return: 140.2   Time: 4:47:21
Num steps: 2035000   Return: 106.4   Time: 4:48:04
Num steps: 2040000   Return: 103.6   Time: 4:48:45
Num steps: 2045000   Return: 103.9   Time: 4:49:28
Num steps: 2050000   Return: 72.0    Time: 4:50:14
Num steps: 2055000   Return: 150.3   Time: 4:50:56
Num steps: 2060000   Return: 128.1   Time: 4:51:39
Num steps: 2065000   Return: 116.7   Time: 4:52:21
Num steps: 2070000   Return: 137.9   Time: 4:53:04
Num steps: 2075000   Return: 76.8    Time: 4:53:46
Num steps: 2080000   Return: 131.1   Time: 4:54:29
Num steps: 2085000   Return: 152.2   Time: 4:55:11
Num steps: 2090000   Return: 149.4   Time: 4:55:54
Num steps: 2095000   Return: 146.6   Time: 4:56:36
Num steps: 2100000   Return: 48.9    Time: 4:57:22
Num steps: 2105000   Return: 47.0    Time: 4:58:04
Num steps: 2110000   Return: 43.5    Time: 4:58:47
Num steps: 2115000   Return: 96.2    Time: 4:59:29
Num steps: 2120000   Return: 106.5   Time: 5:00:12
Num steps: 2125000   Return: 49.4    Time: 5:00:54
Num steps: 2130000   Return: 48.4    Time: 5:01:36
Num steps: 2135000   Return: 83.6    Time: 5:02:18
Num steps: 2140000   Return: 36.5    Time: 5:03:01
